County,Facility_Identifier,Population,Scrape_Date,State,Change
Autauga,AL_Autauga,182,2020-01-01,AL,
Autauga,AL_Autauga,184,2020-01-02,AL,0.01098901098901095
Autauga,AL_Autauga,178,2020-01-03,AL,-0.03260869565217395
Autauga,AL_Autauga,180,2020-01-04,AL,0.011235955056179803
Autauga,AL_Autauga,184,2020-01-05,AL,0.022222222222222143
Autauga,AL_Autauga,183,2020-01-06,AL,-0.005434782608695676
Autauga,AL_Autauga,180,2020-01-07,AL,-0.016393442622950838
Autauga,AL_Autauga,180,2020-01-08,AL,0.0
Autauga,AL_Autauga,179,2020-01-09,AL,-0.005555555555555536
Autauga,AL_Autauga,183,2020-01-10,AL,0.022346368715083775
Autauga,AL_Autauga,180,2020-01-11,AL,-0.016393442622950838
Autauga,AL_Autauga,181,2020-01-12,AL,0.005555555555555536
Autauga,AL_Autauga,179,2020-01-13,AL,-0.011049723756906049
Autauga,AL_Autauga,184,2020-01-14,AL,0.027932960893854775
Autauga,AL_Autauga,183,2020-01-15,AL,-0.005434782608695676
Autauga,AL_Autauga,182,2020-01-16,AL,-0.005464480874316946
Autauga,AL_Autauga,175,2020-01-17,AL,-0.038461538461538436
Autauga,AL_Autauga,180,2020-01-18,AL,0.02857142857142847
Autauga,AL_Autauga,181,2020-01-19,AL,0.005555555555555536
Autauga,AL_Autauga,179,2020-01-20,AL,-0.011049723756906049
Autauga,AL_Autauga,177,2020-01-21,AL,-0.011173184357541888
Autauga,AL_Autauga,170,2020-01-22,AL,-0.039548022598870025
Autauga,AL_Autauga,160,2020-01-23,AL,-0.05882352941176472
Autauga,AL_Autauga,158,2020-01-24,AL,-0.012499999999999956
Autauga,AL_Autauga,159,2020-01-25,AL,0.006329113924050667
Autauga,AL_Autauga,163,2020-01-26,AL,0.02515723270440251
Autauga,AL_Autauga,161,2020-01-27,AL,-0.012269938650306789
Autauga,AL_Autauga,159,2020-01-28,AL,-0.012422360248447228
Autauga,AL_Autauga,160,2020-01-29,AL,0.0062893081761006275
Autauga,AL_Autauga,160,2020-01-30,AL,0.0
Autauga,AL_Autauga,163,2020-01-31,AL,0.018750000000000044
Autauga,AL_Autauga,157,2020-02-07,AL,-0.036809815950920255
Autauga,AL_Autauga,157,2020-02-08,AL,0.0
Autauga,AL_Autauga,164,2020-02-09,AL,0.04458598726114649
Autauga,AL_Autauga,162,2020-02-10,AL,-0.012195121951219523
Autauga,AL_Autauga,162,2020-02-11,AL,0.0
Autauga,AL_Autauga,164,2020-02-12,AL,0.012345679012345734
Autauga,AL_Autauga,168,2020-02-13,AL,0.024390243902439046
Autauga,AL_Autauga,164,2020-02-14,AL,-0.023809523809523836
Autauga,AL_Autauga,168,2020-02-15,AL,0.024390243902439046
Autauga,AL_Autauga,169,2020-02-16,AL,0.005952380952380931
Autauga,AL_Autauga,167,2020-02-17,AL,-0.011834319526627168
Autauga,AL_Autauga,167,2020-02-18,AL,0.0
Autauga,AL_Autauga,171,2020-02-19,AL,0.0239520958083832
Autauga,AL_Autauga,172,2020-02-20,AL,0.005847953216374213
Autauga,AL_Autauga,175,2020-02-21,AL,0.01744186046511631
Autauga,AL_Autauga,173,2020-02-22,AL,-0.011428571428571455
Autauga,AL_Autauga,173,2020-02-23,AL,0.0
Autauga,AL_Autauga,170,2020-02-24,AL,-0.017341040462427793
Autauga,AL_Autauga,170,2020-02-25,AL,0.0
Autauga,AL_Autauga,169,2020-02-26,AL,-0.00588235294117645
Autauga,AL_Autauga,171,2020-02-27,AL,0.01183431952662728
Autauga,AL_Autauga,169,2020-02-28,AL,-0.011695906432748537
Autauga,AL_Autauga,173,2020-03-04,AL,0.023668639053254337
Autauga,AL_Autauga,175,2020-03-05,AL,0.011560693641618602
Autauga,AL_Autauga,177,2020-03-06,AL,0.011428571428571344
Autauga,AL_Autauga,166,2020-03-07,AL,-0.062146892655367214
